dataset,feature,rank,importance_percent
creditcard_cleaned,V14,1,12.503810302064236
creditcard_cleaned,V4,2,11.704718878515317
creditcard_cleaned,V_std,3,9.961807307934432
creditcard_cleaned,V_std,4,8.373161113813396
creditcard_cleaned,V_sum,5,8.043512505468986
creditcard_cleaned,V_sum,6,5.907444855689121
creditcard_cleaned,V17,7,5.696196639457353
creditcard_cleaned,V_min,8,5.540735119448869
creditcard_cleaned,V10,9,4.821128049399879
creditcard_cleaned,V12,10,4.0962364036193435
credit_card_fraud_2023_cleaned,V14,1,19.52759679403878
credit_card_fraud_2023_cleaned,V12,2,15.854851651054835
credit_card_fraud_2023_cleaned,V10,3,14.183557382755355
credit_card_fraud_2023_cleaned,V4,4,9.67706797415657
credit_card_fraud_2023_cleaned,V11,5,9.151213073340742
credit_card_fraud_2023_cleaned,V17,6,6.978769259933873
credit_card_fraud_2023_cleaned,V16,7,3.2270316552608933
credit_card_fraud_2023_cleaned,V3,8,3.1477558865437056
credit_card_fraud_2023_cleaned,V_mean,9,2.870061309429862
credit_card_fraud_2023_cleaned,V_sum,10,1.9753719835994887
